repn	predictor.dsgtailp	predictor.mdctailp	predictor.MDCscore	predictor.U1	predictor.U2	model.id
AJB/007/029/shallow_	-0.769857457486931	-0.0153226062880324	2	-1	-1	ILS
AJB/007/029/shallow_	-0.451425750716449	0.543474258836056	24	0.5	1	ILS
AJB/007/029/shallow_	1.45916448990645	6.69023977520103	9096679.6875	3	5.5	HGT
AJB/007/029/shallow_	-1.4067208710279	-1.41231476909825	1	-1	-1	ILS
AJB/007/029/shallow_	-0.132994043945967	0.264075826274012	1.5	-1	-1	ILS
AJB/007/029/shallow_	0.503869369594998	1.10227112396014	6	0	0.5	ILS
AJB/007/029/shallow_	-0.451425750716449	0.264075826274012	2.22222222222222	-1	-1	ILS
AJB/007/029/shallow_	0.185437662824516	1.10227112396014	4.5	-1	0	ILS
AJB/007/029/shallow_	-0.769857457486931	-1.13291633653621	1.5	-1	-1	ILS
AJB/007/029/shallow_	-0.132994043945967	0.264075826274012	13.5	-0.5	-0.5	ILS
AJB/007/029/shallow_	-1.72515257779838	-1.13291633653621	1.5	-1	-1	ILS
AJB/007/029/shallow_	-1.72515257779838	-1.6917132016603	1	-1	-1	ILS
AJB/007/029/shallow_	0.503869369594998	-0.0153226062880324	1	-1	-1	ILS
AJB/007/029/shallow_	1.14073278313596	3.3374585844565	2912	0	0.5	HGT
AJB/007/029/shallow_	-0.132994043945967	-0.294721038850077	1.90476190476199	-1	-1	ILS
AJB/007/029/shallow_	-0.769857457486931	-0.0153226062880324	2	-1	-0.5	ILS
AJB/007/029/shallow_	0.82230107636548	2.77866171933241	259.259259259259	0	0.5	ILS
AJB/007/029/shallow_	-0.769857457486931	-0.294721038850077	20.25	-1	-1	ILS
AJB/007/029/shallow_	-0.132994043945967	1.38166955652219	3.16049382716049	-1	-1	ILS
AJB/007/029/shallow_	1.14073278313596	1.38166955652219	4.5	-1	0	ILS
AJB/007/029/shallow_	-0.132994043945967	1.38166955652219	16	-0.5	0.5	ILS
AJB/007/029/shallow_	1.45916448990645	5.29324761239081	243750	2	4.5	HGT
AJB/007/029/shallow_	0.503869369594998	0.822872691398101	2	-0.5	-0.5	ILS
AJB/007/029/shallow_	1.45916448990645	2.21986485420832	6	0	0.5	ILS
AJB/007/029/shallow_	0.185437662824516	1.94046642164628	13.3333333333333	-1	-0.5	ILS
AJB/007/029/shallow_	1.14073278313596	1.38166955652219	2	-0.5	0.5	ILS
AJB/007/029/shallow_	-0.451425750716449	0.264075826274012	16	-0.5	0	ILS
AJB/007/029/shallow_	-0.132994043945967	-0.0153226062880324	12	-1	-0.5	ILS
AJB/007/029/shallow_	0.82230107636548	0.822872691398101	48	-0.5	0	HGT
AJB/007/029/shallow_	0.185437662824516	1.10227112396014	6	-0.5	0	ILS
AJB/007/029/shallow_	-0.769857457486931	-0.853517903974165	2	-1	-0.5	ILS
AJB/007/029/shallow_	-0.132994043945967	-0.0153226062880324	4	-0.5	-0.5	ILS
AJB/007/029/shallow_	-0.451425750716449	0.543474258836056	4	-0.5	0	ILS
AJB/007/029/shallow_	-0.132994043945967	-0.0153226062880324	45	-0.5	0.5	ILS
AJB/007/029/shallow_	0.503869369594998	1.38166955652219	57.1428571428596	-1	-1	ILS
AJB/007/029/shallow_	-0.451425750716449	1.66106798908423	16	-1	-0.5	ILS
AJB/007/029/shallow_	0.503869369594998	0.264075826274012	2.25	0	0.5	ILS
AJB/007/029/shallow_	-0.769857457486931	-0.853517903974165	1	0	0.5	ILS
AJB/007/029/shallow_	0.185437662824516	0.264075826274012	2	-0.5	0	ILS
AJB/007/029/shallow_	-1.08828916425741	-0.853517903974165	1	-1	-1	ILS
AJB/007/029/shallow_	0.185437662824516	0.264075826274012	2	-1	-0.5	ILS
AJB/007/029/shallow_	1.77759619667693	3.05806015189446	3.33333333333333	-0.5	-0.5	ILS
AJB/007/029/shallow_	0.185437662824516	0.543474258836056	6	-0.5	0	ILS
AJB/007/029/shallow_	-0.769857457486931	-0.294721038850077	4	-0.5	-0.5	ILS
AJB/007/029/shallow_	-0.769857457486931	-0.294721038850077	1.5	-1	-1	ILS
AJB/007/029/shallow_	-0.132994043945967	-0.0153226062880324	2.25	-1	-0.5	ILS
AJB/007/029/shallow_	-0.451425750716449	0.822872691398101	2.66666666666667	-1	0	ILS
AJB/007/029/shallow_	0.82230107636548	1.38166955652219	4.5	-1	-0.5	ILS
AJB/007/029/shallow_	-0.769857457486931	-0.294721038850077	3	-0.5	-0.5	ILS
AJB/007/029/shallow_	0.82230107636548	1.10227112396014	1.33333333333333	-1	-1	ILS
AJB/007/029/shallow_	-0.451425750716449	0.543474258836056	1	-1	-1	ILS
AJB/007/029/shallow_	-0.769857457486931	-0.294721038850077	6	-1	-1	ILS
AJB/007/029/shallow_	-0.769857457486931	-0.294721038850077	3	-1	-1	ILS
AJB/007/029/shallow_	-0.769857457486931	-1.13291633653621	1.5	-1	-1	ILS
AJB/007/029/shallow_	-0.769857457486931	-0.294721038850077	3	0.5	1	ILS
AJB/007/029/shallow_	0.82230107636548	3.05806015189446	240	-0.5	1	ILS
AJB/007/029/shallow_	-0.769857457486931	-0.574119471412121	1	-1	-1	ILS
AJB/007/029/shallow_	-1.08828916425741	-0.853517903974165	1.33333333333333	-1	-1	ILS
AJB/007/029/shallow_	-0.769857457486931	-0.853517903974165	1	-1	-1	ILS
AJB/007/029/shallow_	0.82230107636548	0.543474258836056	1.5	-1	-0.5	ILS
AJB/007/029/shallow_	-0.769857457486931	-0.574119471412121	1	-1	-1	ILS
AJB/007/029/shallow_	-1.08828916425741	-0.574119471412121	37.0426829268301	-1	-1	ILS
AJB/007/029/shallow_	0.503869369594998	0.822872691398101	3	-0.5	-0.5	ILS
AJB/007/029/shallow_	0.503869369594998	1.10227112396014	39.5121951219521	0	0.5	ILS
AJB/007/029/shallow_	-0.451425750716449	-0.294721038850077	2	-1	-1	ILS
AJB/007/029/shallow_	-0.132994043945967	0.543474258836056	274.285714285726	-0.5	2	HGT
AJB/007/029/shallow_	-0.769857457486931	-0.853517903974165	3	-1	-1	ILS
AJB/007/029/shallow_	0.503869369594998	0.543474258836056	2.66666666666667	0	0	ILS
AJB/007/029/shallow_	0.82230107636548	1.10227112396014	2	-0.5	0	ILS
AJB/007/029/shallow_	1.77759619667693	1.66106798908423	8	2	2.5	ILS
AJB/007/029/shallow_	0.503869369594998	0.264075826274012	10	-1	-1	ILS
AJB/007/029/shallow_	-0.132994043945967	-0.0153226062880324	2	-1	-0.5	ILS
AJB/007/029/shallow_	0.503869369594998	0.822872691398101	1.5	-1	-1	ILS
AJB/007/029/shallow_	1.14073278313596	1.66106798908423	8	-1	-1	ILS
AJB/007/029/shallow_	0.82230107636548	2.77866171933241	5	0.5	0.5	ILS
AJB/007/029/shallow_	2.41445961021789	2.77866171933241	6	0	0	ILS
AJB/007/029/shallow_	1.77759619667693	2.49926328677037	1.5	-0.5	0	ILS
AJB/007/029/shallow_	-0.132994043945967	-0.294721038850077	3	-1	-0.5	ILS
AJB/007/029/shallow_	-1.08828916425741	-0.574119471412121	2.85714285714298	-1	-1	ILS
