repn	predictor.dsgtailp	predictor.mdctailp	predictor.MDCscore	predictor.U1	predictor.U2	model.id
AJB/007/001	1.89667592226549	2.24479865360765	4	0	0	HGT
AJB/007/001	0.0754072164103351	1.63048435716967	13.5	3	1.5	HGT
AJB/007/001	-0.228137567898857	0.0946986160747092	108	1	1	HGT
AJB/007/001	-0.228137567898857	-0.212458532144282	1.5	0	0	HGT
AJB/007/001	3.11085505950226	5.31637013579757	35640	2	3	HGT
AJB/007/001	0.0754072164103351	0.0946986160747092	1	-1	0	HGT
AJB/007/001	-0.835227136517241	1.32332720895068	37968.75	4	1.5	HGT
AJB/007/001	1.5931311379563	5.62352728401656	2137.5	7	3	HGT
AJB/007/001	3.11085505950226	6.54499872867353	684000	6	3.5	HGT
AJB/007/001	1.5931311379563	2.55195580182664	40.5	-1	0	HGT
AJB/007/001	1.89667592226549	5.00921298757857	62500	7	4.5	HGT
AJB/007/001	3.71794462812064	7.46647017333051	56250	14	6.5	HGT
AJB/007/001	2.80731027519306	7.15931302511152	3037500	11	5.5	HGT
AJB/007/001	3.41439984381145	5.31637013579757	4374	6	4	HGT
AJB/007/001	2.50376549088387	3.16627009826463	24	5	2	HGT
AJB/007/001	2.80731027519306	7.15931302511152	228690	4	3	HGT
AJB/007/001	2.50376549088387	2.85911295004563	72	5	3	HGT
AJB/007/001	0.682496785028719	1.01617006073168	15	2	1	HGT
AJB/007/001	0.378952000719527	0.401855764293701	3	-1	-0.5	HGT
AJB/007/001	0.378952000719527	5.00921298757857	32727240	2	1	HGT
AJB/007/001	0.378952000719527	0.709012912512692	24	1	0	HGT
AJB/007/001	2.50376549088387	9.00225591442547	32722200	8	4.5	HGT
AJB/007/001	0.986041569337911	1.32332720895068	120.000000000005	2	0.5	HGT
AJB/007/001	0.0754072164103351	0.0946986160747092	40.5	2	1	HGT
AJB/007/001	-0.228137567898857	0.709012912512692	1.5	0	-0.5	HGT
AJB/007/001	-0.531682352208049	-0.212458532144282	1.5	-1	-1	HGT
AJB/007/001	0.986041569337911	2.55195580182664	800	2	0.5	HGT
AJB/007/001	-0.531682352208049	-0.212458532144282	162	-1	0	HGT
AJB/007/001	0.0754072164103351	0.401855764293701	90	1	0	HGT
AJB/007/001	0.986041569337911	2.24479865360765	15120	2	1	HGT
AJB/007/001	2.50376549088387	4.39489869114059	768	4	1.5	HGT
AJB/007/001	0.0754072164103351	0.709012912512692	360	6	2.5	HGT
AJB/007/001	0.682496785028719	4.70205583935958	18900	2	2.5	HGT
AJB/007/001	1.5931311379563	2.55195580182664	60	2	1	HGT
AJB/007/001	0.986041569337911	1.32332720895068	250	3	3	HGT
AJB/007/001	-0.228137567898857	0.0946986160747092	27	0	0	HGT
AJB/007/001	2.50376549088387	3.47342724648362	2700	7	3	HGT
AJB/007/001	0.0754072164103351	0.709012912512692	2	-1	-1	HGT
AJB/007/001	-0.228137567898857	0.0946986160747092	22.8571428571438	-1	-1	HGT
AJB/007/001	0.682496785028719	1.32332720895068	6	2	0.5	HGT
AJB/007/001	0.986041569337911	1.32332720895068	12	1	0	HGT
AJB/007/001	0.0754072164103351	0.709012912512692	5100	5	2	HGT
AJB/007/001	2.50376549088387	7.15931302511152	438750	10	4.5	HGT
AJB/007/001	-0.228137567898857	0.0946986160747092	4	0	0	HGT
AJB/007/001	1.5931311379563	5.31637013579757	264600	6	2.5	HGT
AJB/007/001	0.986041569337911	2.85911295004563	67200	6	3	HGT
